entryClass,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
jbmc-regression/if_expr1,6,14,2,3,0,0,2,12,23,1,0,0,0,2,2,0,0,0,4,2,0,0,2,0,7,0,1,0,0,0,2,2
jbmc-regression/synchronized,1,8,2,1,1,0,1,7,19,1,0,0,0,3,1,3,0,0,2,1,0,2,3,0,2,0,1,0,0,0,2,1
jbmc-regression/recursion2,2,9,3,2,0,0,1,8,20,1,0,2,1,0,4,1,0,1,1,4,0,0,0,0,0,0,0,4,1,1,0,0
jbmc-regression/exceptions12,1,9,2,3,0,0,2,7,16,1,0,0,0,2,1,0,0,0,4,2,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/exceptions7,3,18,2,5,0,0,5,13,29,1,0,0,0,2,3,0,0,0,6,5,0,3,3,0,4,0,1,0,0,0,4,1
jbmc-regression/assert4,3,10,2,2,0,0,1,9,15,2,1,0,3,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
jbmc-regression/StringMiscellaneous02,2,10,2,3,0,0,1,9,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/StringValueOf01,18,94,2,27,0,1,9,84,88,28,0,1,1,8,2,9,0,1,9,0,0,10,0,0,0,19,1,0,0,0,0,0
jbmc-regression/StringValueOf03,2,46,2,12,0,2,1,43,43,1,0,0,3,0,2,1,8,1,1,13,9,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/StringValueOf10,2,20,2,8,0,0,2,18,21,1,0,0,0,2,1,0,0,0,9,2,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/assert6,3,8,2,2,0,0,1,7,15,1,0,0,0,2,1,0,0,0,3,1,0,0,1,0,4,0,1,0,0,0,1,1
jbmc-regression/return1,4,14,5,4,0,0,1,13,22,0,0,0,1,1,5,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,5,1
jbmc-regression/StringBuilderChars02,2,14,2,5,0,0,2,12,18,1,0,0,2,0,2,1,0,1,1,6,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/StringMiscellaneous04,17,81,3,25,1,1,8,72,99,12,0,1,0,0,4,22,30,3,3,3,0,0,1,0,0,1,11,1,2,9,0,0
jbmc-regression/StringContains01,2,11,2,4,0,0,1,10,16,1,0,0,0,2,1,0,0,0,5,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/StaticCharMethods04,2,9,2,3,0,0,1,8,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/StringConstructors02,2,11,2,4,0,0,2,9,17,1,0,0,2,0,2,1,0,1,1,5,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/java_append_char,5,38,2,10,0,2,3,33,40,0,0,0,1,0,6,5,2,3,1,1,0,8,0,0,0,1,0,0,0,0,11,2
jbmc-regression/StringStartEnd03,4,28,2,6,1,1,1,26,30,1,0,0,1,2,1,0,4,1,7,2,2,0,2,0,5,0,1,0,0,0,1,4
jbmc-regression/RegexSubstitution03,3,61,2,15,1,3,1,57,41,1,0,0,2,1,0,1,0,4,1,3,0,0,16,0,3,6,2,4,0,0,0,0
jbmc-regression/StringStartEnd02,4,28,2,6,1,1,1,26,30,1,0,0,1,2,1,0,4,1,7,2,2,0,2,0,5,0,1,0,0,0,1,4
jbmc-regression/const1,8,20,2,4,0,0,4,16,34,1,0,0,0,2,4,0,0,0,5,4,3,0,1,0,9,0,1,0,0,0,4,1
jbmc-regression/array2,8,17,2,3,0,2,2,13,31,1,0,0,2,2,2,0,1,1,4,4,0,0,2,0,9,0,1,0,0,0,2,2
jbmc-regression/BufferedReaderReadLine,3,24,3,8,1,0,3,21,30,2,1,0,0,3,4,3,0,0,1,0,0,0,1,0,1,2,0,4,0,1,10,0
jbmc-regression/exceptions11,2,14,3,3,0,0,2,12,33,4,0,0,5,0,3,4,0,2,1,7,0,0,0,0,0,2,0,6,1,1,0,0
jbmc-regression/StaticCharMethods03,3,14,2,5,0,0,1,13,19,3,1,0,6,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
jbmc-regression/StringBuilderChars06,2,16,2,6,0,0,2,14,19,0,7,2,0,0,1,3,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2
jbmc-regression/StringValueOf08,2,14,2,5,0,0,1,13,17,0,0,0,1,0,3,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,6,1
jbmc-regression/TokenTest01,15,54,2,13,1,1,5,48,61,3,0,0,2,2,0,0,7,3,1,0,2,1,16,5,0,0,6,14,0,1,1,0
jbmc-regression/boolean1,3,8,2,2,0,0,1,7,17,1,0,0,0,4,1,0,0,0,3,1,0,0,1,0,4,0,1,0,0,0,1,1
jbmc-regression/SubString01,4,22,2,6,0,0,2,20,23,1,0,0,0,2,2,0,0,0,7,2,0,0,1,0,5,0,1,0,0,0,2,1
jbmc-regression/charArray,3,32,3,12,0,0,4,28,35,4,1,1,13,6,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,4,0
jbmc-regression/StringIndexMethods05,2,12,2,3,0,0,1,11,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/iarith2,4,16,5,5,0,0,2,14,47,0,0,0,1,1,7,3,6,3,1,1,0,0,0,0,12,1,2,0,0,0,7,3
jbmc-regression/ClassCastException2,1,9,2,2,0,0,2,7,16,1,0,0,0,2,1,0,0,0,3,2,0,1,2,1,2,0,1,0,0,0,1,1
jbmc-regression/putfield_getfield1,2,9,2,2,0,0,2,7,17,2,0,0,0,2,2,0,0,0,3,2,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/exceptions18,2,11,3,3,0,0,2,9,23,2,0,0,3,0,2,3,0,3,1,5,0,0,0,0,0,2,0,3,1,1,0,0
jbmc-regression/overloading1,6,23,5,7,0,0,4,19,33,0,0,0,1,0,7,4,5,3,1,1,0,0,0,0,0,1,0,0,0,0,8,3
jbmc-regression/ClassCastException3,1,9,2,2,0,0,2,7,16,1,0,0,0,2,1,0,0,0,3,2,0,1,2,1,2,0,1,0,0,0,1,1
jbmc-regression/RegexSubstitution01,13,96,2,25,1,3,6,87,80,6,4,0,2,1,0,1,0,14,1,3,0,0,26,0,3,11,2,9,0,0,0,0
jbmc-regression/NegativeArraySizeException2,1,8,2,1,0,1,1,6,14,1,0,0,0,2,1,0,0,0,2,2,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/enum1,2,7,2,1,0,0,1,6,15,1,0,0,0,2,3,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/assert2,3,9,2,2,0,0,1,8,15,2,1,0,3,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
jbmc-regression/instanceof6,4,19,2,4,0,1,4,14,30,1,2,0,0,2,2,0,2,2,5,5,0,0,1,0,5,0,1,0,0,0,2,1
jbmc-regression/package1,2,8,2,2,0,0,1,7,14,1,0,0,0,2,1,0,0,0,3,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/instanceof7,4,19,2,4,0,1,4,14,30,1,2,0,0,2,2,0,2,2,5,5,0,0,1,0,5,0,1,0,0,0,2,1
jbmc-regression/astore_aload1,156,368,2,77,1,8,77,283,593,1,0,0,7,2,77,0,8,70,78,85,2,0,2,0,157,16,1,10,0,0,77,3
jbmc-regression/arraylength1,3,9,2,2,0,1,1,7,18,1,0,0,1,3,1,0,0,0,3,2,0,0,1,0,4,0,1,0,0,0,1,1
jbmc-regression/classtest1,0,2,2,1,0,0,0,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jbmc-regression/StaticCharMethods02,3,16,2,6,0,0,1,15,20,1,0,0,0,3,1,0,0,0,7,1,0,0,1,0,4,0,1,0,0,0,1,1
jbmc-regression/exceptions15,1,13,4,4,0,0,2,11,19,4,1,0,5,2,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,0
jbmc-regression/calc,1,20,4,6,0,1,1,18,37,1,2,1,2,0,0,1,0,1,5,0,5,13,0,0,0,0,2,1,0,3,2,0
jbmc-regression/virtual4,0,5,1,3,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0
jbmc-regression/StringConstructors01,8,52,2,13,0,1,9,42,54,0,0,0,1,0,9,10,2,4,1,1,0,8,0,0,0,1,0,0,0,0,14,4
jbmc-regression/return2,2,9,2,3,0,0,1,8,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/aastore_aaload1,5,17,2,3,2,1,2,14,27,1,0,0,0,3,1,0,1,1,4,3,2,0,3,0,6,0,1,0,0,0,1,3
jbmc-regression/exceptions10,1,9,3,3,0,0,2,7,25,2,0,0,4,0,3,3,0,2,1,6,0,0,0,0,0,2,0,3,1,1,0,0
jbmc-regression/exceptions2,2,12,2,3,0,0,3,9,21,1,0,0,0,2,2,0,0,0,4,3,0,2,2,0,3,0,1,0,0,0,3,1
jbmc-regression/exceptions8,2,13,3,4,0,0,3,10,26,2,0,0,4,0,3,4,0,2,1,6,0,0,0,0,0,3,0,3,1,1,0,0
jbmc-regression/instanceof1,2,7,2,1,0,0,1,6,14,1,1,0,0,2,1,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/StaticCharMethods05,5,52,2,18,0,2,3,47,47,0,6,2,0,1,0,1,2,1,0,0,1,0,5,0,0,2,19,1,0,0,1,6
jbmc-regression/StringIndexMethods01,24,79,2,24,0,0,12,67,91,0,0,0,1,0,25,12,2,12,1,1,0,0,0,0,0,1,0,0,0,0,25,12
jbmc-regression/ArrayIndexOutOfBoundsException3,1,10,2,2,0,1,1,8,16,1,0,0,0,2,1,0,1,0,3,2,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/uninitialised1,2,9,2,1,0,1,1,7,15,1,0,0,0,2,1,0,0,1,2,2,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/CharSequenceToString,4,17,2,5,0,0,1,16,19,1,0,0,0,2,1,0,0,0,6,1,0,0,1,0,5,0,1,0,0,0,1,2
jbmc-regression/RegexMatches02,3,23,2,9,1,0,1,22,24,1,0,10,1,2,0,0,0,2,0,0,2,0,0,0,1,1,0,0,4,0,1,0
jbmc-regression/StringIndexMethods03,2,11,2,3,0,0,1,10,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/StringIndexMethods04,2,11,2,3,0,0,1,10,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/assert1,6,13,2,3,0,0,2,11,22,2,2,0,4,7,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,2,0
jbmc-regression/StringCompare02,2,12,2,4,0,0,1,11,17,1,0,0,0,2,1,0,0,0,5,1,0,0,2,0,3,0,1,0,0,0,1,1
jbmc-regression/CharSequenceBug,3,20,2,5,0,0,1,19,18,1,0,0,0,2,1,0,0,0,6,1,0,0,1,0,4,0,1,0,0,0,1,2
jbmc-regression/StringCompare01,20,62,2,20,0,0,11,51,83,2,10,0,21,21,0,0,6,10,1,0,1,0,0,1,0,0,0,0,0,0,11,0
jbmc-regression/StringBuilderInsertDelete01,4,92,2,28,0,1,3,88,59,1,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,29,0,1,12,5,4,2
jbmc-regression/StringBuilderInsertDelete02,2,82,2,25,0,1,2,79,51,0,0,0,3,2,1,0,0,3,12,0,0,1,1,0,1,0,1,0,0,26,1,0
jbmc-regression/instanceof4,2,7,2,1,0,0,1,6,14,1,1,0,0,2,1,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/assert3,3,8,2,2,0,0,1,7,15,1,0,0,0,2,1,0,0,0,3,1,0,0,1,0,4,0,1,0,0,0,1,1
jbmc-regression/StringValueOf06,2,12,2,4,0,0,1,11,16,2,1,0,5,3,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
jbmc-regression/StringCompare05,2,9,2,3,0,0,2,7,17,1,0,0,2,0,2,1,0,2,1,4,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/constructor1,10,30,2,7,0,0,7,23,46,1,0,0,0,2,10,0,0,0,8,7,0,0,1,0,11,0,1,0,0,0,5,1
jbmc-regression/SubString03,2,14,2,4,0,0,1,13,16,1,0,0,0,2,1,0,0,0,5,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/StringConstructors05,2,27,2,4,0,1,2,24,26,1,0,0,3,0,2,1,0,1,1,5,8,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/swap1,2,10,2,1,0,0,1,9,15,1,0,0,0,2,1,0,0,0,2,1,1,0,1,0,3,1,1,0,0,0,1,1
jbmc-regression/Validate01,11,47,2,15,0,0,4,43,52,8,0,0,4,0,2,4,0,4,1,16,0,0,0,0,0,0,0,12,1,1,0,0
jbmc-regression/StringBuilderCapLen03,2,12,2,4,0,0,2,10,17,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,5,1
jbmc-regression/exceptions14,3,18,2,5,0,0,5,13,29,1,0,0,0,2,3,0,0,0,6,5,0,3,4,0,4,0,1,0,0,0,3,1
jbmc-regression/StringBuilderAppend02,2,89,2,28,0,1,3,85,55,12,29,4,1,0,0,1,0,1,0,0,3,1,1,1,0,0,0,2,0,0,0,0
jbmc-regression/exceptions3,2,12,2,3,0,0,3,9,21,1,0,0,0,2,2,0,0,0,4,3,0,2,2,0,3,0,1,0,0,0,3,1
jbmc-regression/interface1,0,5,1,3,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0
jbmc-regression/StringContains02,2,10,2,3,0,0,1,9,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/bug-test-gen-095,2,17,2,6,0,0,2,15,19,1,0,0,2,0,2,1,0,1,1,7,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/exceptions1,4,26,2,8,0,0,8,18,39,1,0,0,0,2,4,0,0,0,9,8,0,4,4,0,5,0,1,0,0,0,5,1
jbmc-regression/ClassCastException1,1,9,2,2,0,0,2,7,16,1,0,0,0,2,1,0,0,0,3,2,0,1,2,1,2,0,1,0,0,0,1,1
jbmc-regression/arrayread1,3,12,2,2,0,1,1,10,20,2,0,0,0,3,2,0,0,1,3,2,0,0,1,0,4,0,1,0,0,0,1,1
jbmc-regression/instanceof8,4,17,3,5,0,0,3,14,27,2,0,0,3,0,4,2,0,1,1,6,0,0,0,0,0,0,0,6,1,1,0,1
jbmc-regression/boolean2,3,12,3,3,0,0,1,11,20,1,0,0,1,0,3,1,0,3,1,4,0,0,0,0,0,0,0,5,1,3,0,0
jbmc-regression/StringValueOf09,2,14,2,5,0,0,1,13,17,0,0,0,1,0,3,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,6,1
jbmc-regression/StringMiscellaneous03,3,24,2,6,1,1,1,22,24,1,0,0,0,2,1,0,0,0,7,2,3,0,2,0,4,0,1,0,0,0,1,3
jbmc-regression/StringConstructors04,2,27,2,4,0,1,2,24,26,1,0,0,0,2,1,0,8,0,5,3,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/NullPointerException1,1,9,2,2,0,0,1,8,14,1,0,0,0,2,1,0,0,0,3,1,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/StringBuilderInsertDelete03,2,86,2,27,0,1,2,83,53,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,28,0,1,12,3,3,1
jbmc-regression/exceptions6,4,15,2,3,0,0,3,12,25,1,0,0,0,2,4,0,0,0,4,3,0,2,2,0,5,0,1,0,0,0,3,1
jbmc-regression/char1,6,18,2,5,0,0,2,16,27,1,0,0,0,3,2,0,0,0,6,2,1,0,1,0,7,1,1,0,0,0,2,1
jbmc-regression/cast1,20,55,2,10,0,0,9,46,86,1,0,0,0,3,9,0,0,0,11,9,1,0,1,0,21,15,1,5,0,0,9,1
jbmc-regression/instanceof5,2,8,2,2,0,0,2,6,16,1,1,0,0,2,1,0,0,0,3,2,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/StringBuilderCapLen02,2,14,2,5,0,0,2,12,18,1,0,0,2,0,2,1,0,1,1,6,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/ArrayIndexOutOfBoundsException1,2,10,2,2,0,1,1,8,18,1,0,0,0,3,1,0,1,0,3,2,0,1,2,0,3,0,1,0,0,0,1,1
jbmc-regression/bitwise1,2,16,2,2,0,0,1,15,21,2,0,0,0,2,2,0,0,0,3,1,4,0,1,0,3,1,1,0,0,0,1,1
jbmc-regression/multinewarray,10,37,2,4,2,2,4,31,50,1,0,0,3,2,4,0,1,6,5,6,3,0,3,0,11,0,1,0,0,0,4,4
jbmc-regression/catch1,4,13,2,3,0,0,3,10,25,1,2,0,0,3,2,0,0,0,4,3,0,1,1,0,5,0,1,0,0,0,3,1
jbmc-regression/RegexSubstitution02,3,64,2,17,1,3,1,60,44,6,0,1,0,0,3,4,18,1,2,2,0,0,1,0,0,0,4,1,3,1,0,0
jbmc-regression/StringValueOf04,2,12,2,4,0,0,1,11,16,1,0,0,1,0,2,1,0,1,1,5,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/ifxx1,12,22,2,6,0,0,6,16,43,1,0,0,0,2,6,0,0,0,7,6,0,0,1,0,13,0,1,0,0,0,6,1
jbmc-regression/StringValueOf02,2,37,2,12,0,1,1,35,33,2,1,8,13,3,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0
jbmc-regression/exceptions5,3,35,2,11,0,0,7,28,42,7,0,0,7,0,2,4,0,4,1,12,0,0,0,0,0,4,0,4,1,1,0,0
jbmc-regression/virtual_function_unwinding,2,11,2,4,0,0,3,8,18,1,0,0,0,2,1,0,0,0,5,3,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/ArithmeticException6,1,10,2,2,0,0,1,9,15,1,0,0,0,2,1,0,0,0,3,1,1,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/virtual2,0,3,1,2,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
jbmc-regression/assert5,3,9,2,2,0,0,1,8,15,2,1,0,3,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
MinePump/spec1-5_product59,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product36,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product19,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product20,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product8,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product33,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product52,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product31,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product11,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product18,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product6,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product51,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product57,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product3,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product21,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product43,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product38,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product47,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product40,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product62,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product58,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product39,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product34,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product24,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product27,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product32,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product28,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product63,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product60,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product48,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product54,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product46,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product29,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product16,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product22,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product1,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product15,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product26,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product50,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product7,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product25,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product45,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product23,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product44,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product35,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product61,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product56,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product9,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product64,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product2,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product55,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product42,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product10,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product17,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
MinePump/spec1-5_product41,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
